customer_id,full_name,email,country,updated_at
1,Ada Lovelace,ada.lovelace@example.com,GB,2026-01-15 08:00:00
2,Grace Hopper,grace.hopper@example.com,US,2026-01-15 09:00:00
3,Alan Turing,alan.turing@example.com,GB,2026-01-16 10:00:00
4,Margaret Hamilton,margaret.hamilton@example.com,US,2026-01-16 11:00:00
5,Linus Torvalds,linus.torvalds@example.com,FI,2026-01-17 12:00:00
6,Guido van Rossum,guido.vanrossum@example.com,NL,2026-01-17 13:00:00
7,James Gosling,james.gosling@example.com,CA,2026-01-18 14:00:00
8,Bjarne Stroustrup,bjarne.stroustrup@example.com,DK,2026-01-18 15:00:00
9,Dennis Ritchie,dennis.ritchie@example.com,US,2026-01-19 16:00:00
10,Tim Berners-Lee,tim.bernerslee@example.com,GB,2026-01-19 17:00:00
